ie-id,ieenterprise-id,field name,Element Semantics,Element Data Type
637,6321,rx-unicast-octets,totalCounter,uint64
638,6321,rx-multicast-octets,totalCounter,uint64
639,6321,rx-broadcast-octets,totalCounter,uint64
640,6321,tx-unicast-octets,totalCounter,uint64
641,6321,tx-multicast-octets,totalCounter,uint64
642,6321,tx-broadcast-octets,totalCounter,uint64
643,6321,role,default,string
644,6321,moduletemperature,runningCounter,string
645,6321,module-tx-power,runningCounter,string
646,6321,module-vcc,runningCounter,string
647,6321,module-rx-power,runningCounter,string
648,6321,carrier-transitions,totalCounter,uint64
649,6321,input-power-instant,runningCounter,int64
650,6321,output-power-instant,runningCounter,int64
801,6321,configured-poolsize,default,uint64
802,6321,leases-in-grace,deltacounters,uint64
803,6321,active-leases,quantity,uint64
804,6321,max-leases,quantity,uint64
805,6321,min-leases,quantity,uint64
806,6321,avg-leases,quantity,uint64
807,6321,offers-sent,deltacounters,uint64
808,6321,offers-accepted,deltacounters,uint64
809,6321,requestsgranted,deltacounters,uint64
810,6321,requestsdeclined,deltacounters,uint64
811,6321,requesttimeouts,deltacounters,uint64
812,6321,lease-renewals,deltacounters,uint64
813,6321,lease-timerexpiries,deltacounters,uint64
814,6321,grace-timerexpiries,deltacounters,uint64
840,6321,tx-ccr-i,deltacounter,uint64
841,6321,rx-cca-i,deltacounter,uint64
842,6321,tx-ccr-u,deltacounter,uint64
843,6321,rx-cca-u,deltacounter,uint64
844,6321,rx-rar,deltacounter,uint64
845,6321,tx-raa,deltacounter,uint64
846,6321,raa-session-idmismatch,deltacounter,uint64
847,6321,pcrf-timerexpiries,deltacounter,uint64
848,6321,configuredsubscribers-with-pcrfenabled,quantity,uint64
849,6321,activesubscriberswith-pcrfenabled,deltacounter,uint64
850,6321,active-defaultsubscriberswith-pcrfenabled,deltacounter,uint64
860,6321,url-redirectsubscribers,deltacounter,uint64
861,6321,url-redirectpoliciesapplied,deltacounter,uint64
862,6321,url-updates,deltacounter,uint64
870,6321,dynamic-policyapplyrequests,uint64,packets
871,6321,dynamic-policyapplysuccesses,uint64,packets
872,6321,dynamic-policyapplyfailures,uint64,packets
873,6321,rx-arp-req,uint64,packets
874,6321,tx-arp-resp,uint64,packets
875,6321,arp-timer-expiries,uint64,packets
876,6321,diameter-client-name,default,string
880,6321,tx-cer,deltacounter,uint64
881,6321,rx-cea,deltacounter,uint64
882,6321,rtx-msg,deltacounter,uint64
883,6321,msg-timeout,deltacounter,uint64
884,6321,peer-up,deltacounter,uint64
885,6321,peer-down,deltacounter,uint64
886,6321,watchdogtimerexpiries,deltacounter,uint64
887,6321,peerdisconnect,deltacounter,uint64
888,6321,radius-clientname,identifier,string
890,6321,tx-accountingstart,deltacounter,uint64
891,6321,tx-accountinginterim,deltacounter,uint64
892,6321,tx-accountingstop,deltacounter,uint64
893,6321,rtx-accountingstart,deltacounter,uint64
894,6321,rtx-accountinginterim,deltacounter,uint64
895,6321,rtx-accountingstop,deltacounter,uint64
896,6321,rx-accountingsuccess-resp,deltacounter,uint64
897,6321,rx-accountingfailure-resp,deltacounter,uint64
899,6321,upstream-discard-events,totalCounter,uint64
900,6321,upstream-crc-error-frames,totalCounter,uint64
901,6321,downstream-discardevents,totalCounter,uint64
902,6321,downstream-crc-errorframes,totalCounter,uint64
903,6321,pon-ont-util-aid,identifier,string
904,6321,upstream-bytes,totalCounter,uint64
